age,gender,n_trials,n_force_wrong,n_missed,bonus_payment,percent_accept_A1,percent_accept_A2,percent_accept_A3,percent_accept_A4,percent_accept_A2_A3,percent_accept_B1,percent_accept_B2,percent_accept_B3,percent_accept_B4,percent_accept_B2_B3,percent_accept_B1_min_A1,percent_accept_B2_min_A2,percent_accept_B3_min_A3,percent_accept_B4_min_A4,percent_accept_B2_B3_min_A2_A3,percent_accept_AB1,percent_accept_AB2,percent_accept_AB3,percent_accept_AB4,percent_accept_AB2_AB3,order_condition,liks,intercept,beta,learning_rate_reward_raw,learning_rate_reward_transformed,learning_rate_delay_raw,learning_rate_delay_transformed
40,m,230,2,3,2.4,1.0,1.0,0.4,0.0,0.647058824,1.0,1.0,1.0,0.070175439,1.0,0.0,0.0,0.6,0.070175439,0.352941176,1.0,1.0,0.727272727,0.19047619,0.857142857,2,46.02205735452787,-2.384625535781336,0.08245646628621459,-1.8479649511521437,0.03230370664771304,-2.1199153592757662,0.017006591937684057
33,f,367,4,5,2.8,0.972222222,0.333333333,0.058823529,0.090909091,0.2,1.0,0.692307692,0.0,0.013888889,0.310344828,0.027777778,0.358974359,-0.058823529,-0.077020202,0.110344828,0.977777778,0.483870968,0.03030303,0.146551724,0.25,1,100.47726994318947,-2.249066102366099,0.025784438484755215,-1.0503943268690288,0.14676842643711352,-2.213968219664307,0.013415482598418738
46,m,323,2,2,2.8,1.0,0.1,0.0625,0.0,0.083333333,1.0,1.0,1.0,0.019607843,1.0,0.0,0.9,0.9375,0.019607843,0.916666667,1.0,0.470588235,0.482758621,0.215053763,0.476190476,2,41.45136727886753,-1.9632891422883947,0.12031118873650438,-1.7207020369406598,0.042652453287365555,-2.0036271603256286,0.022555007089978818
27,m,360,3,3,2.8,1.0,1.0,0.428571429,0.058823529,0.724137931,1.0,1.0,0.5,0.0,0.787878788,0.0,0.0,0.071428571,-0.058823529,0.063740857,1.0,1.0,0.464285714,0.008130081,0.758064516,1,40.63808887763977,-2.9769911900754273,0.07343011553311926,-2.6824027022662107,0.0036547705576131517,-3.0394929670947213,0.0011848836774862037
41,m,214,2,2,2.5,1.0,0.909090909,1.0,0.272727273,0.947368421,0.9,1.0,1.0,0.529411765,1.0,-0.1,0.090909091,0.0,0.256684492,0.052631579,0.98245614,0.944444444,1.0,0.515151515,0.972222222,2,54.99630974193511,-1.8349727848619501,0.06323830946290246,-2.1076816699742023,0.017529266938052512,-2.21708293840222,0.013308712235697462
27,m,276,6,8,2.7,1.0,1.0,0.875,0.0,0.947368421,1.0,1.0,1.0,0.017241379,1.0,0.0,0.0,0.125,0.017241379,0.052631579,1.0,1.0,0.96,0.208333333,0.981132075,2,34.10838898178523,-3.3570084114145056,0.16672340272028013,-2.2451506706555358,0.012379230822346265,-2.3468762791133213,0.009465769927462897
39,f,336,2,3,2.8,0.984848485,0.1,0.117647059,0.0,0.108108108,1.0,0.214285714,0.875,0.017241379,0.566666667,0.015151515,0.114285714,0.757352941,0.017241379,0.458558559,0.987654321,0.147058824,0.484848485,0.173469388,0.313432836,2,64.82383977518617,0.3253484234879047,0.08025652549643379,-1.659716484739972,0.04848575074852873,-1.7974264502058708,0.03613397238850086
38,f,236,3,5,2.6,1.0,0.769230769,0.909090909,0.625,0.833333333,0.888888889,1.0,1.0,0.735294118,1.0,-0.111111111,0.230769231,0.090909091,0.110294118,0.166666667,0.983870968,0.857142857,0.947368421,0.735294118,0.9,1,65.13640190839953,-2.1564235675433148,0.028428771697372835,-2.610293094293543,0.004523233893716727,-2.7442062255386666,0.0030328709452125957
28,Female,284,0,8,2.5,1.0,0.25,0.8,0.066666667,0.555555556,1.0,0.909090909,0.923076923,0.068965517,0.916666667,0.0,0.659090909,0.123076923,0.002298851,0.361111111,1.0,0.565217391,0.857142857,0.075471698,0.725490196,2,60.03313533645025,-0.44329727126041063,0.08511673390045954,-2.686107150951238,0.003614495092273462,-2.8179922385628964,0.0024162488989276643
47,f,356,3,10,2.7,1.0,0.153846154,0.166666667,0.125,0.16,0.95,0.0,0.055555556,0.0,0.029411765,-0.05,-0.153846154,-0.111111111,-0.125,-0.130588235,0.988235294,0.068965517,0.1,0.108108108,0.084745763,1,100.98637066114932,1.763502703791726,0.055042432762492356,-1.6981640357629513,0.04473840314917821,-1.7002855868336832,0.04453861009966764
63,FEMALE,204,1,10,2.5,0.975,1.0,1.0,0.909090909,1.0,1.0,0.875,0.909090909,0.896551724,0.894736842,0.025,-0.125,-0.090909091,-0.012539185,-0.105263158,0.979166667,0.9375,0.954545455,0.838709677,0.947368421,2,49.69845287102309,-2.478394032922151,0.020741324750130224,-2.9893566277114805,0.0013978280804393672,-3.3220716265838366,0.0004467587690887842
33,F,243,2,2,2.3,0.853658537,0.75,0.5,0.5,0.625,0.466666667,0.416666667,0.333333333,0.276595745,0.375,-0.38699187,-0.333333333,-0.166666667,-0.223404255,-0.25,0.75,0.55,0.4,0.306666667,0.475,2,118.60498571981853,0.23459523456300424,0.017774448146587574,-3.1648977893390993,0.0007756871911234198,-3.253436571244109,0.0005700908832675933
39,m,316,3,4,2.9,1.0,0.666666667,0.1875,0.105263158,0.419354839,1.0,0.733333333,1.0,0.037735849,0.870967742,0.0,0.066666667,0.8125,-0.067527309,0.451612903,1.0,0.7,0.59375,0.15625,0.64516129,2,59.93217205665056,-1.2858233413666105,0.08431332201987973,-2.0270512187328027,0.021328587448094294,-2.21364402432944,0.013426638168483052
35,f,351,5,9,2.6,0.981818182,0.0625,0.0625,0.0,0.0625,0.9375,0.117647059,0.4,0.014705882,0.25,-0.044318182,0.055147059,0.3375,0.014705882,0.1875,0.971830986,0.090909091,0.225806452,0.066037736,0.15625,2,64.10500960430113,0.23814052214037285,0.06830256219169177,-1.8904360008239185,0.02934983620023479,-2.3033513648836816,0.010629540903700885
18,m,346,4,4,2.9,1.0,0.111111111,0.095238095,0.0,0.102564103,1.0,0.875,0.941176471,0.035714286,0.909090909,0.0,0.763888889,0.845938375,0.035714286,0.806526807,1.0,0.470588235,0.473684211,0.202020202,0.472222222,2,53.95476764555226,-1.1279368931164497,0.1037111644142097,-1.777337843170848,0.037756335407903574,-1.9831072942144847,0.02367772300886084
30,m,333,2,2,2.8,1.0,1.0,0.5,0.058823529,0.727272727,1.0,1.0,1.0,0.013513514,1.0,0.0,0.0,0.5,-0.045310016,0.272727273,1.0,1.0,0.735294118,0.10619469,0.859375,2,29.043811893823637,-4.053719645243306,0.1689919232525625,-2.292243968702363,0.010945784533505531,-2.4626868490615004,0.006895014954167222
30,m,356,6,13,2.6,0.982758621,0.210526316,0.5,0.153846154,0.322580645,1.0,0.714285714,0.238095238,0.0,0.476190476,0.017241379,0.503759398,-0.261904762,-0.153846154,0.153609831,0.987012987,0.475,0.333333333,0.042372881,0.410958904,1,87.9510916754299,-0.4027281276688756,0.04761129877310234,-2.86209603725724,0.002104246818473321,-3.233636243388114,0.0006111251111104998
24,m,328,5,17,2.7,0.971830986,1.0,0.043478261,0.0,0.488372093,0.647058824,0.909090909,1.0,0.054545455,0.961538462,-0.324772162,-0.090909091,0.956521739,0.054545455,0.473166369,0.909090909,0.967741935,0.421052632,0.161290323,0.666666667,2,99.29932072088064,-1.0280914796146832,0.043353347535455174,-2.0063115775874603,0.022411507778519746,-2.3840179390501612,0.008562383784321836
